motion_id,name,description,type,file
c9cca398-b96c-11e4-a802-0aaa78deedf9,Draw Sword 2,Transition From Standing To Drawing Sword,Motion,download/c9cca398-b96c-11e4-a802-0aaa78deedf9.fbx
c9cca748-b96c-11e4-a802-0aaa78deedf9,Running Crawl,Running On All Fours,Motion,download/c9cca748-b96c-11e4-a802-0aaa78deedf9.fbx
c9cc8764-b96c-11e4-a802-0aaa78deedf9,Great Sword Slash,Great Sword Crouching Slash,Motion,download/c9cc8764-b96c-11e4-a802-0aaa78deedf9.fbx
c9cc4a62-b96c-11e4-a802-0aaa78deedf9,Sword And Shield Strafe,Sword And Shield Left Strafe Walk,Motion,download/c9cc4a62-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb24a7-b96c-11e4-a802-0aaa78deedf9,Back Squat,Ending Back Squat Workout To Fitness Idle,Motion,download/c9cb24a7-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb3ff4-b96c-11e4-a802-0aaa78deedf9,Goalkeeper Idle,Goalkeeper Idle Holding Ball,Motion,download/c9cb3ff4-b96c-11e4-a802-0aaa78deedf9.fbx
6e2dad1a-2725-4df2-adb9-20dd3007ca8c,Standing 2H Magic Attack 02,Two Handed Casting Spell Fowards,Motion,download/6e2dad1a-2725-4df2-adb9-20dd3007ca8c.fbx
14f7890c-4431-4944-95d0-f7c46a1c538b,Crouch Walk Left,Walking Left While Crouched,Motion,download/14f7890c-4431-4944-95d0-f7c46a1c538b.fbx
20d24be0-b948-477b-9a24-4b562d83687c,Female Laying Pose,"On Right Side, Right Hand Supporting Head",Motion,download/20d24be0-b948-477b-9a24-4b562d83687c.fbx
d787960d-5406-4988-968b-7ade5ac49075,Catwalk Idle 01,Male Standing Idle 01,Motion,download/d787960d-5406-4988-968b-7ade5ac49075.fbx
4d2adf5a-39fa-4aa1-9272-e07c334bc0a3,Standing Walk Forward,Walking Forwards,Motion,download/4d2adf5a-39fa-4aa1-9272-e07c334bc0a3.fbx
055c26a1-0184-4197-8a8e-ea91524c12b3,Catwalk Twist L To Walk 180,Male Twist Left Idle To Walk 180 - Turning Left,Motion,download/055c26a1-0184-4197-8a8e-ea91524c12b3.fbx
aa7e9e1e-0554-438f-bc2e-1b32088f0198,Catwalk Walk Turn 180 Wide L,Male Walk Forward In A Wide Turn To The Left,Motion,download/aa7e9e1e-0554-438f-bc2e-1b32088f0198.fbx
3e6cd013-6a18-4e26-b4cd-f49a47c22d2a,Standing Torch Turn Left 90,Turning 90 Degrees Left With Torch,Motion,download/3e6cd013-6a18-4e26-b4cd-f49a47c22d2a.fbx
01da8857-474f-404d-aa34-2e09e697f02c,Male Standing Pose,"Right Leg On Object, Left Hand On Hip, Right Hand On Chin",Motion,download/01da8857-474f-404d-aa34-2e09e697f02c.fbx
2906468d-f1ee-4444-8c8a-76a95dcaea96,Standing Torch Idle 02,Standing Idle Looking Around,Motion,download/2906468d-f1ee-4444-8c8a-76a95dcaea96.fbx
bc9bacbc-3968-41f8-b813-c95471177c00,Standing Run Forward,Running Forwards,Motion,download/bc9bacbc-3968-41f8-b813-c95471177c00.fbx
c8399864-940e-403a-8602-a3569d7c5420,Standing React Large From Left,Hit Reaction From The Left With Bow,Motion,download/c8399864-940e-403a-8602-a3569d7c5420.fbx
c9ccfbe8-b96c-11e4-a802-0aaa78deedf9,Run Arc Left,Female Run Arc Left,Motion,download/c9ccfbe8-b96c-11e4-a802-0aaa78deedf9.fbx
c9cedab1-b96c-11e4-a802-0aaa78deedf9,Standing Melee Combo Attack Ver. 2,Three Hit Combo Attack With Axe,Motion,download/c9cedab1-b96c-11e4-a802-0aaa78deedf9.fbx
c9cece82-b96c-11e4-a802-0aaa78deedf9,Standing Disarm Underarm,Disarming Axe Underarm,Motion,download/c9cece82-b96c-11e4-a802-0aaa78deedf9.fbx
c9cef01d-b96c-11e4-a802-0aaa78deedf9,Unarmed Turn Right 90,Turning 90 Degrees Right,Motion,download/c9cef01d-b96c-11e4-a802-0aaa78deedf9.fbx
c9cdbb48-b96c-11e4-a802-0aaa78deedf9,Pistol Strafe,Strafe Left With An Aimed Pistol,Motion,download/c9cdbb48-b96c-11e4-a802-0aaa78deedf9.fbx
c9cd7b57-b96c-11e4-a802-0aaa78deedf9,Jog Backward,Soccer Jog Backward,Motion,download/c9cd7b57-b96c-11e4-a802-0aaa78deedf9.fbx
c9cda77e-b96c-11e4-a802-0aaa78deedf9,Pick Fruit,Picking Fruit From Ground,Motion,download/c9cda77e-b96c-11e4-a802-0aaa78deedf9.fbx
c9ceacc6-b96c-11e4-a802-0aaa78deedf9,Standing Draw Arrow,Reloading Bow,Motion,download/c9ceacc6-b96c-11e4-a802-0aaa78deedf9.fbx
c9ce53ae-b96c-11e4-a802-0aaa78deedf9,Injured Stumble Idle,Injured Stumbling Idle,Motion,download/c9ce53ae-b96c-11e4-a802-0aaa78deedf9.fbx
c9ce73bf-b96c-11e4-a802-0aaa78deedf9,Taking A Pill,Laying Taking A Pill,Motion,download/c9ce73bf-b96c-11e4-a802-0aaa78deedf9.fbx
